fl,fs,duo_norm_fl,duo_norm_fs
tf_efficientnetv2_l.in21k_ft_in1k,Swin_V2_T,181.2423031475209,31.21266348740116
tf_efficientnetv2_l.in21k_ft_in1k,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,164.47542389514788,46.347195844387535
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ConvNeXt_Small,44.43298779178526,74.99308119685571
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ConvNeXt_Tiny,38.30307096124885,83.18980039755412
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,EfficientNet_B0,66.17029235404989,76.54360231757545
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,EfficientNet_B1,66.09145634812724,61.90799108269512
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,EfficientNet_B2,50.33281693766775,99.2696717116495
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,EfficientNet_B5,39.19748800359,73.47366326021942
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,MNASNet0_5,77.65295356670174,80.71713943924951
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,MNASNet0_75,74.19790918623853,80.21627004316893
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,MNASNet1_0,65.13714663245902,116.25074288705542
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,MNASNet1_3,76.09831440260965,57.9185557095223
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,RegNet_X_16GF,65.7726683386288,189.77736041037392
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,RegNet_X_1_6GF,65.97643963243189,119.53582661662348
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,RegNet_X_3_2GF,75.05994343455124,83.54615919761093
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,RegNet_X_400MF,75.26611828389584,60.31024166474601
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,RegNet_X_800MF,66.95234807601109,85.92470911391025
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,RegNet_X_8GF,76.55967384332378,80.30367075482872
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ResNeXt101_32X8D,75.02965077284308,140.03046643436616
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ResNeXt101_64X4D,65.60629472292506,141.81558674968025
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ResNeXt50_32X4D,76.09616624526137,68.63289338768715
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ResNet101,64.83489333641538,188.12139682172858
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ResNet152,76.095745336748,144.07368735127582
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ResNet50,65.96388404669015,130.31195425720003
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ShuffleNet_V2_X0_5,59.12052130802361,257.029058348895
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ShuffleNet_V2_X1_0,66.74024143919287,141.29965057439784
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ShuffleNet_V2_X1_5,66.30661500974989,165.35702922077303
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,ShuffleNet_V2_X2_0,74.92185596785244,151.14313233154368
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,Swin_B,66.70986530396496,33.84668322899929
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,Swin_S,45.6784127278091,68.98258867484456
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,Swin_T,65.02760794169284,68.14599013004654
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,Swin_V2_S,51.5642416604486,112.39134003856599
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,Swin_V2_T,56.25692388937504,38.626897049212744
