Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,model,wrapper,source,uncertainty_type,gflops,model_type
0.7065,0.7026777773049327,0.0004216327140172,1.3703863315460882,0.0893048793077468,0.8397086918622526,0.1123219891697931,0.0642680770604291,0.5821,0.5503,0.5108,0.4744,0.4394,0.3661,0.0076,0.0069,0.0057,0.0053,RegNet_X_8GF,TempScaleWrapper,torchvision,softmax_response,8.0,standard
0.7252,0.7222982554560122,0.0004050990976397,1.308533157991859,0.0851701721549034,0.8177452528279103,0.1175969745519922,0.0757956517303322,0.5866,0.5459,0.4831,0.3815,0.002,0.0011,0.0011,0.0011,0.0011,0.0011,ResNeXt101_32X8D,TempScaleWrapper,torchvision,softmax_response,16.41,standard
0.7232,0.7201552008300814,0.0003999299208176,1.2595406861179337,0.0807583555579185,0.8273725837958463,0.1123465566930113,0.0698997578773268,0.5934,0.5598,0.4895,0.4446,0.2274,0.0226,0.017,0.0167,0.001,0.001,ResNeXt101_64X4D,TempScaleWrapper,torchvision,softmax_response,15.46,standard
0.6937,0.6898549781529019,0.0004353587360788,1.428400055737372,0.0857634842395782,0.838866457790842,0.1210406031402372,0.0684222619389361,0.5503,0.519,0.4888,0.4472,0.3859,0.2823,0.0079,0.0035,0.0004,0.0004,ResNeXt50_32X4D,TempScaleWrapper,torchvision,softmax_response,4.23,standard
0.702,0.69930830911706,0.0004231100735522,1.3629744736813425,0.0944057255983352,0.8461126407770704,0.1124683812867024,0.0628364381081277,0.5799,0.5535,0.5144,0.4744,0.4244,0.3568,0.0141,0.009,0.0011,0.0011,ResNet101,TempScaleWrapper,torchvision,softmax_response,7.8,standard
0.7168,0.713544783580435,0.0004119204870505,1.327027265134976,0.0911694392561912,0.8367725338447083,0.1098601174585818,0.0653105515598141,0.6083,0.5745,0.5459,0.4836,0.4324,0.3657,0.0005,0.0005,0.0005,0.0005,ResNet152,TempScaleWrapper,torchvision,softmax_response,11.51,standard
0.6989,0.6951172181285693,0.0004271129954879,1.366234112269374,0.0699182227253913,0.8379130339991024,0.1156350239353591,0.064899223125281,0.5626,0.5278,0.5001,0.4562,0.4036,0.3261,0.1681,0.0038,0.0017,0.0017,ResNet50,TempScaleWrapper,torchvision,softmax_response,4.09,standard
0.4737,0.4675273064155185,0.0006619178034818,2.5687139492300783,0.0601747259497642,0.8408117643571529,0.2616956088807946,0.0893089676553817,0.2449,0.2286,0.2102,0.1903,0.1628,0.1371,0.1233,0.0869,0.0313,0.018,ShuffleNet_V2_X0_5,TempScaleWrapper,torchvision,softmax_response,0.04,standard
0.5602,0.555446066289107,0.0005724653112259,2.075467566029842,0.0565122216939926,0.8479355696878867,0.189394989964181,0.074187286315575,0.3535,0.3323,0.312,0.2877,0.2593,0.2341,0.2102,0.1681,0.1137,0.0747,ShuffleNet_V2_X1_0,TempScaleWrapper,torchvision,softmax_response,0.14,standard
0.6028,0.5986412551288007,0.000530671782891,1.7881593963645332,0.0695689618587493,0.8382482537015912,0.1677177208187354,0.0756170245109611,0.3883,0.3699,0.3319,0.3062,0.2736,0.2341,0.1828,0.1446,0.0812,0.0034,ShuffleNet_V2_X1_5,TempScaleWrapper,torchvision,softmax_response,0.3,standard
0.6421,0.6382572361616101,0.0004901915479286,1.6245550708323568,0.0595176666975021,0.8352503718436801,0.1449858678747291,0.0715254806848191,0.4488,0.418,0.3984,0.3588,0.2971,0.2596,0.208,0.1542,0.047,0.0014,ShuffleNet_V2_X2_0,TempScaleWrapper,torchvision,softmax_response,0.58,standard
0.7241,0.7212761722110714,0.0004061362146783,1.2918421439454868,0.0991821661591529,0.8295225343540535,0.115426274790162,0.0732706237163081,0.6172,0.5852,0.5445,0.4907,0.3942,0.0003,0.0003,0.0003,0.0003,0.0003,Swin_B,TempScaleWrapper,torchvision,softmax_response,15.43,standard
0.7205,0.7174582142283139,0.0004026905283667,1.266659618398494,0.0877103582024574,0.8467875493936209,0.1001896287520061,0.0568626609906083,0.6322,0.5941,0.5678,0.5201,0.471,0.4268,0.2954,0.0236,0.008,0.0031,Swin_S,TempScaleWrapper,torchvision,softmax_response,8.74,standard
0.694,0.6903917614443902,0.0004292146099971,1.343094792912812,0.0862474516034126,0.8489355305042285,0.1112267430800958,0.0587180667244118,0.5713,0.5407,0.5131,0.4888,0.4522,0.4065,0.3326,0.1101,0.0056,0.0015,Swin_T,TempScaleWrapper,torchvision,softmax_response,4.49,standard
0.7313,0.7279663474352093,0.0003945899495326,1.240869931050012,0.1029826775193214,0.8427562277128214,0.1005691820871945,0.0607025584708369,0.6361,0.608,0.5676,0.5318,0.4722,0.3915,0.2998,0.0013,0.0013,0.0013,Swin_V2_B,TempScaleWrapper,torchvision,softmax_response,20.32,standard
0.7285,0.726166327476564,0.0003954070731726,1.242719084641459,0.0961684584617614,0.8437495497066931,0.0997272908529984,0.0589789518530183,0.6293,0.6032,0.5609,0.5232,0.4853,0.4141,0.3008,0.0002,0.0002,0.0002,Swin_V2_S,TempScaleWrapper,torchvision,softmax_response,11.55,standard
0.7037,0.6997032757198727,0.0004150019992096,1.3052196690236777,0.0809173136949539,0.8536082193387816,0.1029625224601804,0.0539301047197598,0.6002,0.5726,0.5479,0.5193,0.476,0.4211,0.3599,0.1886,0.0556,0.0275,Swin_V2_T,TempScaleWrapper,torchvision,softmax_response,5.94,standard
0.7616,0.7584006760011784,0.0003484212994855,1.0417770960105406,0.0753806456923484,0.8348675827294005,0.0860592103638271,0.0550567094799421,0.6874,0.6538,0.617,0.5638,0.4984,0.4027,0.2156,0.037,0.0273,0.0068,tf_efficientnetv2_l.in21k_ft_in1k,TempScaleWrapper,timm,softmax_response,56.08,standard
0.7637,0.7609964566844875,0.0003492343946343,1.0441823473224592,0.0823663994669914,0.8418802518930407,0.0848778181204339,0.0544444306391479,0.6982,0.6668,0.6365,0.6075,0.5672,0.5001,0.4369,0.0004,0.0004,0.0004,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,TempScaleWrapper,timm,softmax_response,17.56,standard
