Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,model,wrapper,uncertainty_type,gflops,params,split
0.6797890605837625,0.3086120249466888,0.0023495928203576192,1.2327152375537451,0.02616700530052185,0.8651985352081456,0.10676089324093622,0.04891036183963516,0.5803286730439048,0.5555555555555556,0.5206033848417955,0.48270787343635024,0.4492273730684327,0.41979396615158204,0.3784645572725043,0.3379936227618347,0.2397596271768457,0.1599215109148884,ShuffleNet_V2_X1_0,TempScaleWrapper,softmax_response,0.14,2.3,test
0.6797890605837625,0.3086120249466888,0.0023495928203576192,1.2327152375537451,0.02616700530052185,0.8412080048515927,0.11530938356215019,0.05745885216084912,0.5301692420897719,0.5033112582781457,0.47142506745155754,0.4480009811135639,0.4202845229335296,0.3854549914152563,0.3468236448368899,0.3032867304390483,0.2305616875153299,0.15072357125337257,ShuffleNet_V2_X1_0,TempScaleWrapper,entropy,0.14,2.3,test
0.7701741476575914,0.46371682887097615,0.0017420027338407326,0.970271040788638,0.06186399608850479,0.9058358513075339,0.05460974793566899,0.025892020522229324,0.7847682119205298,0.7649006622516556,0.7391464311994114,0.714373313711062,0.6949963208241354,0.6741476575913662,0.6501103752759382,0.6160166789305862,0.551140544518028,0.24944812362030905,ConvNeXt_Small,None,softmax_response,8.68,50.2,test
0.7701741476575914,0.46371682887097615,0.0017420027338407326,0.970271040788638,0.06186399608850479,0.9064726665261812,0.054376377073030786,0.025658649659591123,0.7814569536423841,0.7601177336276674,0.7393917095903851,0.7206279126808928,0.6985528574932548,0.6808928133431444,0.6562423350502821,0.6226391954868776,0.5510179053225411,0.2596271768457199,ConvNeXt_Small,None,entropy,8.68,50.2,test
0.7701741476575914,0.46371682887097615,0.0016999491540541669,0.8891713140740878,0.031098149716854095,0.9070542930752027,0.0540753790901639,0.025357651676724234,0.7851361295069904,0.7637969094922737,0.7374294824625951,0.7155997056659308,0.6979396615158204,0.6779494726514594,0.6562423350502821,0.6221486387049301,0.5478292862398823,0.2523914643119941,ConvNeXt_Small,TempScaleWrapper,softmax_response,8.68,50.2,test
0.7701741476575914,0.46371682887097615,0.0016999491540541669,0.8891713140740878,0.031098149716854095,0.897911412626012,0.056099885861451704,0.02738215844801204,0.7739759627176845,0.7542310522442973,0.7382879568310032,0.7144959529065489,0.6888643610497915,0.6633554083885209,0.6320824135393672,0.5970076036301202,0.538018150600932,0.24773117488349278,ConvNeXt_Small,TempScaleWrapper,entropy,8.68,50.2,test
0.7563159185675742,0.41792748424990145,0.0018289221845603464,1.0073501159207985,0.05482055991888046,0.8955249008289572,0.06279184312414608,0.030328912558724344,0.756561196958548,0.7386558744174638,0.7206279126808928,0.6958547951925436,0.6740250183958794,0.6480255089526613,0.6003188619082659,0.5328673043904832,0.33161638459651704,0.18248712288447388,Swin_S,None,softmax_response,8.74,49.6,test
0.7563159185675742,0.41792748424990145,0.0018289221845603464,1.0073501159207985,0.05482055991888046,0.8956485764572037,0.06265823611570082,0.030195305550279078,0.7560706401766004,0.7381653176355163,0.7147412312975227,0.6978170223203336,0.6730439048319843,0.6481481481481481,0.5994603875398578,0.5394898209467746,0.3202109394162374,0.18604365955359334,Swin_S,None,entropy,8.74,49.6,test
0.7563159185675742,0.41792748424990145,0.001806822993559457,0.9337988554771794,0.03177140653133392,0.8965489072844088,0.06236402188885952,0.02990109132343778,0.7571743929359823,0.7374294824625951,0.7192788815305372,0.6974491047338729,0.6737797400049056,0.6482707873436351,0.5999509443218053,0.5358106450821682,0.3224184449350012,0.1884964434633309,Swin_S,TempScaleWrapper,softmax_response,8.74,49.6,test
0.7563159185675742,0.41792748424990145,0.001806822993559457,0.9337988554771794,0.03177140653133392,0.8868728705125558,0.06467598456233335,0.032213053996911614,0.7496934020112828,0.7246750061319598,0.7040716212901643,0.6824871228844739,0.6427520235467256,0.6127054206524405,0.5808192298258523,0.5078489085111602,0.3128525876870248,0.194383124846701,Swin_S,TempScaleWrapper,entropy,8.74,49.6,test
0.73448614177091,0.3760103515869952,0.0023713157756088173,1.6820575717664896,0.1764034926891327,0.8456294584721721,0.08854633112828722,0.04966697504600131,0.6418935491783174,0.6038753985773854,0.5620554329163601,0.5275938189845475,0.487981358842286,0.4516801569781702,0.4059357370615649,0.32781456953642385,0.12509197939661515,0.11344125582536178,RegNet_X_16GF,None,softmax_response,15.94,54.3,test
0.73448614177091,0.3760103515869952,0.0023713157756088173,1.6820575717664896,0.1764034926891327,0.8469815523995686,0.08838229185997706,0.04950293577769115,0.6423841059602649,0.6008094186902134,0.5613195977434388,0.524037282315428,0.4892077507971548,0.44824625950453767,0.40618101545253865,0.3248712288447388,0.12398822663723326,0.1128280598479274,RegNet_X_16GF,None,entropy,15.94,54.3,test
0.73448614177091,0.3760103515869952,0.0020872307042663937,1.094353738153603,0.03236914053559303,0.8327005591852963,0.09576610613375382,0.056886750051467906,0.6241108658327201,0.5713760117733627,0.5269806230071131,0.4857738533235222,0.4492273730684327,0.3982094677458916,0.33750306597988716,0.1779494726514594,0.06450821682609761,0.05273485405935737,RegNet_X_16GF,TempScaleWrapper,softmax_response,15.94,54.3,test
0.73448614177091,0.3760103515869952,0.0020872307042663937,1.094353738153603,0.03236914053559303,0.8032563934572892,0.10567181384836831,0.06679245776608239,0.5539612460142261,0.5239146431199412,0.4922737306843267,0.4440765268579838,0.4033603139563404,0.3362766740250184,0.258523424086338,0.088177581555065,0.052980132450331126,0.0399803777287221,RegNet_X_16GF,TempScaleWrapper,entropy,15.94,54.3,test
0.6935246504782928,0.3543693040864303,0.0024460218218306778,1.5254306142742249,0.14049963653087616,0.8660236508396462,0.1005223426165371,0.047836373550012114,0.6022810890360559,0.5776306107431936,0.5506499877360804,0.5299239636987981,0.5045376502330144,0.4711797890605838,0.4131714495952907,0.3393426539121903,0.23350502820701496,0.12570517537404954,ResNeXt50_32X4D,None,softmax_response,4.23,25.0,test
0.6935246504782928,0.3543693040864303,0.0024460218218306778,1.5254306142742249,0.14049963653087616,0.8709419753754728,0.09928769184666832,0.04660172278014333,0.6030169242089772,0.5787343635025755,0.5532254108413048,0.5327446651949963,0.5026980623007113,0.4746136865342163,0.4094922737306843,0.3247485896492519,0.22246750061319598,0.10142261466764778,ResNeXt50_32X4D,None,entropy,4.23,25.0,test
0.6935246504782928,0.3543693040864303,0.002264707432735108,1.2364305047624597,0.025861211121082306,0.868133460280664,0.1010900483231967,0.04840407925667171,0.604243316163846,0.5805739514348786,0.5569045867059113,0.5256315918567575,0.4916605347068923,0.4494726514594064,0.3784645572725043,0.29040961491292616,0.21326956095168015,0.04427274957076282,ResNeXt50_32X4D,TempScaleWrapper,softmax_response,4.23,25.0,test
0.6935246504782928,0.3543693040864303,0.002264707432735108,1.2364305047624597,0.025861211121082306,0.8554591067196109,0.10628005585855604,0.05359408679203106,0.5805739514348786,0.555064998773608,0.5218297767966642,0.4845474613686534,0.4446897228354182,0.3999264164827079,0.33983321069413785,0.2596271768457199,0.19070394898209467,0.04010301692420898,ResNeXt50_32X4D,TempScaleWrapper,entropy,4.23,25.0,test
0.7959283787098357,0.44246993321101974,0.0016648003505450493,0.9776672110829651,0.09503941982984543,0.9020739654942516,0.04601779523085289,0.023601188299946146,0.8195977434388031,0.7982585234240863,0.7658817758155506,0.7381653176355163,0.7135148393426539,0.6835908756438558,0.6504782928623988,0.6059602649006622,0.5375275938189845,0.4391709590385087,tf_efficientnetv2_l.in21k_ft_in1k,None,softmax_response,56.08,118.5,test
0.7959283787098357,0.44246993321101974,0.0016648003505450493,0.9776672110829651,0.09503941982984543,0.8994754781764844,0.04692921849900119,0.024512611568094443,0.8161638459651704,0.7944567083639932,0.7666176109884719,0.7368162864851606,0.7078734363502576,0.67831739023792,0.6458180034338975,0.5902624478783419,0.5218297767966642,0.4240863379936228,tf_efficientnetv2_l.in21k_ft_in1k,None,entropy,56.08,118.5,test
0.7959283787098357,0.44246993321101974,0.0015779245962421254,0.8459770123863325,0.02258969470858574,0.8913318937418513,0.05010378078550304,0.027687173854596292,0.8128525876870247,0.7890605837625705,0.7619573215599705,0.7256561196958548,0.6989207750797155,0.6645818003433898,0.6271768457198921,0.5632818248712288,0.4731420161883738,0.359700760363012,tf_efficientnetv2_l.in21k_ft_in1k,TempScaleWrapper,softmax_response,56.08,118.5,test
0.7959283787098357,0.44246993321101974,0.0015779245962421254,0.8459770123863325,0.02258969470858574,0.8609173599176247,0.057875620304471166,0.03545901337356442,0.7668628893794457,0.7387785136129507,0.7100809418690214,0.6805248957566838,0.6544027471179789,0.6184694628403238,0.5744419916605347,0.4868776060829041,0.37490802060338485,0.22418444935001228,tf_efficientnetv2_l.in21k_ft_in1k,TempScaleWrapper,entropy,56.08,118.5,test
0.7490802060338484,0.4287793883624704,0.0021690192464144443,1.465290635539362,0.1576748490333557,0.8721120595011526,0.0735156365405752,0.03899663283383295,0.7131469217561933,0.6886190826588178,0.6642138827569292,0.6382143733137111,0.5995830267353446,0.5486877606082904,0.5187637969094923,0.4721609026244788,0.21547706647044396,0.1243561442236939,Swin_B,None,softmax_response,15.43,87.8,test
0.7490802060338484,0.4287793883624704,0.0021690192464144443,1.465290635539362,0.1576748490333557,0.8749381049867455,0.07297496777754606,0.0384559640708038,0.7167034584253127,0.6932793720873192,0.6661761098847192,0.6384596517046848,0.5940642629384352,0.5502820701496198,0.5168015697817022,0.471915624233505,0.21093941623742948,0.06904586705911209,Swin_B,None,entropy,15.43,87.8,test
0.7490802060338484,0.4287793883624704,0.0019123616900158357,1.007638723716215,0.023529890924692154,0.8644462400799938,0.07734659522214034,0.042827591515398084,0.7068923227863625,0.6726759872455237,0.6368653421633554,0.5978660779985283,0.5615648761344125,0.5131223939170959,0.4710571498650969,0.42138827569291143,0.12668628893794456,0.05457444199166053,Swin_B,TempScaleWrapper,softmax_response,15.43,87.8,test
0.7490802060338484,0.4287793883624704,0.0019123616900158357,1.007638723716215,0.023529890924692154,0.8309176273796972,0.08701697593671165,0.052497972229969395,0.6270542065244052,0.5986019131714496,0.5674515575177826,0.5369143978415502,0.5053961246014226,0.4817267598724552,0.4434633308805494,0.37711552612214866,0.10632818248712289,0.052980132450331126,Swin_B,TempScaleWrapper,entropy,15.43,87.8,test
0.7120431689968114,0.36637560968445904,0.0024888195559752573,1.7566476175060322,0.17672830820083618,0.8510321080055232,0.09828493334587454,0.052132224749114324,0.6086583272013736,0.5851116016678931,0.5523669364728967,0.5015943095413294,0.45940642629384354,0.406794211429973,0.3312484670100564,0.24969340201128282,0.15967623252391464,0.06475349521707138,RegNet_X_800MF,None,softmax_response,0.8,7.3,test
0.7120431689968114,0.36637560968445904,0.0024888195559752573,1.7566476175060322,0.17672830820083618,0.8537606268202841,0.09775630113924733,0.05160359254248711,0.6096394407652685,0.5824135393671818,0.5493009565857248,0.5024527839097376,0.4545008584743684,0.4056904586705911,0.32904096149129264,0.24025018395879322,0.15428010792249203,0.061932793720873194,RegNet_X_800MF,None,entropy,0.8,7.3,test
0.7120431689968114,0.36637560968445904,0.002224411574728611,1.1886911381892662,0.02210158295929432,0.8395153181136121,0.10492846653461711,0.058775757937856894,0.5782438067206279,0.5388766249693402,0.49472651459406425,0.4386804022565612,0.39943585970076034,0.3367672308069659,0.23509933774834438,0.16899681138091735,0.1111111111111111,0.030537159676232523,RegNet_X_800MF,TempScaleWrapper,softmax_response,0.8,7.3,test
0.7120431689968114,0.36637560968445904,0.002224411574728611,1.1886911381892662,0.02210158295929432,0.7990337860557809,0.11875101000305341,0.0725983014062932,0.5068677949472652,0.45818003433897475,0.4206524405199902,0.38827569291145453,0.3524650478292862,0.2848908511160167,0.16936472896737798,0.11981849399067943,0.09663968604365955,0.026980623007113073,RegNet_X_800MF,TempScaleWrapper,entropy,0.8,7.3,test
0.7608535688005886,0.43334151723785996,0.002012529124991484,1.3328238795165224,0.13832490146160126,0.8893040056869844,0.06182555849077387,0.03061666913465695,0.7386558744174638,0.7212411086583272,0.70345842531273,0.6848172675987245,0.6634780475840079,0.6389502084866323,0.6135638950208486,0.5573951434878587,0.4541329408879078,0.247485896492519,Swin_V2_B,None,softmax_response,20.32,87.9,test
0.7608535688005886,0.43334151723785996,0.002012529124991484,1.3328238795165224,0.13832490146160126,0.891819587032353,0.06129885218947178,0.030089962833354862,0.7422124110865833,0.7250429237184204,0.7077507971547706,0.6888643610497915,0.6627422124110866,0.6405445180279618,0.6166298749080206,0.5609516801569782,0.45339710571498654,0.2431935246504783,Swin_V2_B,None,entropy,20.32,87.9,test
0.7608535688005886,0.43334151723785996,0.001782853112699261,0.943776588444733,0.023044707253575325,0.890108408140323,0.06264372906251121,0.031434839706394296,0.7494481236203091,0.7279862644101055,0.70738287956831,0.6821192052980133,0.6610252636742703,0.6374785381407898,0.6014226146676478,0.5372823154280107,0.36779494726514594,0.09823399558498896,Swin_V2_B,TempScaleWrapper,softmax_response,20.32,87.9,test
