model_name,source,wrapper,m_head,batch_size,latency_sec,throughput_samples_per_sec
MNASNet1_3,torchvision,shallow_ensemble,2,32,0.027515859603881837,1162.9656663710248
MNASNet1_3,torchvision,duo,2,32,0.055004606246948244,581.7694586582995
RegNet_X_16GF,torchvision,base,1,32,0.38043937683105467,84.11326994211366
RegNet_X_16GF,torchvision,temp_scale,1,32,0.3804590606689453,84.10891816779376
RegNet_X_16GF,torchvision,shallow_ensemble,2,32,0.38029510974884034,84.14517878269294
RegNet_X_16GF,torchvision,duo,2,32,0.7608172798156738,42.06003313667214
RegNet_X_1_6GF,torchvision,base,1,32,0.052300548553466795,611.8482670843583
RegNet_X_1_6GF,torchvision,temp_scale,1,32,0.05228752136230469,612.0007062157197
RegNet_X_1_6GF,torchvision,shallow_ensemble,2,32,0.052249903678894045,612.4413204023983
RegNet_X_1_6GF,torchvision,duo,2,32,0.10462653636932373,305.84975007719294
RegNet_X_32GF,torchvision,base,1,32,0.2885439682006836,110.90164247600511
RegNet_X_32GF,torchvision,temp_scale,1,32,0.2885261392593384,110.90849543873448
RegNet_X_32GF,torchvision,shallow_ensemble,2,32,0.2885883092880249,110.88460263323582
RegNet_X_32GF,torchvision,duo,2,32,0.5770981788635254,55.44983708494338
RegNet_X_3_2GF,torchvision,base,1,32,0.17275505542755126,185.2333636246027
RegNet_X_3_2GF,torchvision,temp_scale,1,32,0.1727430009841919,185.24628967704683
RegNet_X_3_2GF,torchvision,shallow_ensemble,2,32,0.17274194717407226,185.2474197697538
RegNet_X_3_2GF,torchvision,duo,2,32,0.3455442476272583,92.60753208810087
RegNet_X_400MF,torchvision,base,1,32,0.017240962982177734,1856.0448179767525
RegNet_X_400MF,torchvision,temp_scale,1,32,0.01721916675567627,1858.3942216281316
RegNet_X_400MF,torchvision,shallow_ensemble,2,32,0.017205801010131836,1859.8378524287493
RegNet_X_400MF,torchvision,duo,2,32,0.034655523300170896,923.3737353445821
RegNet_X_800MF,torchvision,base,1,32,0.032568049430847165,982.5580763731853
